Region,Chamber,Session/Congress,Bill Type,Number,Title,Current Status,Current Status Date,Date Introduced,Sponsor(s),Cosponsors,Primary Party,Quorum Profile URL,Bill Text URL,Word Count,Official Description,Organization Description,Stance
Michigan,House,2011-2012 Regular Session,House Bill,5219,H.B. 5219 (2011-2012 Regular Session): Property Tax; Millage; Proposal to Increase Local Revenues; Require to Be Placed on November Ballot. Amends Sec. 24f of 1893 Pa 206 (Mcl 211.24f),Referred to Committee,12/13/2011,12/14/2011,MI Sen. Marty Knollenberg (R-MI13),Bill Rogers,Republican,https://www.quorum.us/bill/1633931/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/House/htm/2011-HIB-5219.htm,723,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,275,"S.B. 275 (2011-2012 Regular Session): Environmental Protection; Permits; Administrative Completeness of Permit Application; Clarify When Achieved and Specify Circumstances for Subsequent Deq Request for Additional Information. Amends Secs. 1303, 1305 & 1311 of 1994 Pa 451 (Mcl 324.1303 Et Seq.).  Tie Bar With: Hb 4042'11",Signed by the Governor,12/13/2011,4/7/2011,MI Sen. Tom Casperson (R-MI38),"MI Sen. Mike Green (R-MI31), MI Sen. Judy Emmons (R-MI33), MI Sen. Darwin Booher (R-MI35), Roger Kahn, MI Sen. Patrick Colbeck (R-MI7), MI Sen. Jim Marleau (R-MI12), MI Sen. Tonya Schuitmaker (R-MI26)",Republican,https://www.quorum.us/bill/1634060/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0275.htm,1055,,,
Michigan,House,2011-2012 Regular Session,House Bill,5222,H.B. 5222 (2011-2012 Regular Session): Records; Vital Records; Certification of Disposition of Dead Bodies by Funeral Directors; Require. Amends Secs. 2805 & 2850 of 1978 Pa 368 (Mcl 333.2805 & 333.2850) & Adds Sec. 2849,Referred to Committee,12/13/2011,12/14/2011,Harold Haugh,,Democrat,https://www.quorum.us/bill/1633937/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/House/htm/2011-HIB-5222.htm,634,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,273,S.B. 273 (2011-2012 Regular Session): Administrative Procedure; Rules; 1984 Pa 27; Update Reference to Administrative Procedures Act. Amends Sec. 2 of 1984 Pa 27 (Mcl 4.552),Signed by the Governor,12/13/2011,4/7/2011,MI Sen. David Robertson (R-MI14),"Bruce Caswell, MI Sen. Tom Casperson (R-MI38), MI Sen. Patrick Colbeck (R-MI7), MI Sen. Jim Marleau (R-MI12), MI Sen. Tonya Schuitmaker (R-MI26), MI Sen. Rick Jones (R-MI24), MI Sen. Joe Hune (R-MI22), MI Sen. Judy Emmons (R-MI33), MI Sen. Darwin Booher (R-MI35), John Pappageorge, MI Sen. Mike Nofs (R-MI19), Roger Kahn, MI Sen. Dave Hildenbrand (R-MI29), MI Sen. Bert Johnson (D-MI2), Mark Jansen, MI Sen. John Proos (R-MI21), MI Sen. Phil Pavlov (R-MI25), Randy Richardville, MI Leader Arlan Meekhof (R-MI30), MI Sen. Goeff Hansen (R-MI34)",Republican,https://www.quorum.us/bill/1634019/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBH-0273.htm,147,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,272,S.B. 272 (2011-2012 Regular Session): Administrative Procedure; Rules; Impact of Rule on Small Businesses; Provide For. Amends Secs. 40 & 64 of 1969 Pa 306 (Mcl 24.240 & 24.264),Signed by the Governor,12/13/2011,4/7/2011,,"MI Sen. Tory Rocca (R-MI10), Randy Richardville, MI Sen. Goeff Hansen (R-MI34), MI Sen. Jack Brandenburg (R-MI8), Mark Jansen, MI Sen. John Proos (R-MI21), MI Sen. Mike Green (R-MI31), MI Sen. Rick Jones (R-MI24), MI Sen. Judy Emmons (R-MI33), John Pappageorge, MI Sen. Darwin Booher (R-MI35), MI Sen. Mike Nofs (R-MI19), Roger Kahn, Bruce Caswell, MI Sen. Patrick Colbeck (R-MI7), MI Sen. Tom Casperson (R-MI38), MI Sen. David Robertson (R-MI14), MI Sen. Jim Marleau (R-MI12), MI Sen. Tonya Schuitmaker (R-MI26), John Moolenaar",Republican,https://www.quorum.us/bill/1634004/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0272.htm,1359,,,
Michigan,House,2011-2012 Regular Session,House Bill,5214,"H.B. 5214 (2011-2012 Regular Session): Criminal Procedure; Youthful Trainees; Eligibility Criteria for Youthful Trainee Program; Modify. Amends Sec. 11, Ch. Ii of 1927 Pa 175 (Mcl 762.11)",Referred to Committee,12/13/2011,12/14/2011,MI Rep. Harvey Santana (D-MI9),"MI Rep. Jeff Irwin (D-MI53), Lisa Howze, Stacy Oakes, Rashida Tlaib, Timothy Bledsoe, MI Rep. Fred Durhal (D-MI5), Shanelle Jackson, MI Rep. Alberta Talabi (D-MI2), Thomas Stallworth",Democrat,https://www.quorum.us/bill/1633910/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/House/htm/2011-HIB-5214.htm,1030,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,271,S.B. 271 (2011-2012 Regular Session): Administrative Procedure; Rules; Regulatory Impact Statement; Require Certain Information to Be Included. Amends Sec. 45 of 1969 Pa 306 (Mcl 24.245),Signed by the Governor,12/13/2011,4/7/2011,MI Sen. Jack Brandenburg (R-MI8),"MI Sen. Jim Marleau (R-MI12), MI Sen. Tonya Schuitmaker (R-MI26), MI Sen. Tom Casperson (R-MI38), MI Sen. Patrick Colbeck (R-MI7), Bruce Caswell, MI Sen. Mike Nofs (R-MI19), Roger Kahn, MI Sen. Darwin Booher (R-MI35), John Pappageorge, MI Sen. Joe Hune (R-MI22), MI Sen. Judy Emmons (R-MI33), MI Sen. Rick Jones (R-MI24), MI Sen. Mike Green (R-MI31), MI Sen. John Proos (R-MI21), MI Sen. Phil Pavlov (R-MI25), Mark Jansen, MI Sen. Dave Hildenbrand (R-MI29), MI Sen. Goeff Hansen (R-MI34), Randy Richardville, MI Leader Arlan Meekhof (R-MI30)",Republican,https://www.quorum.us/bill/1633983/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0271.htm,1421,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,274,S.B. 274 (2011-2012 Regular Session): Administrative Procedure; Joint Committee; Authority of Joint Committee on Administrative Rules; Clarify. Amends Secs. 35 & 45a of 1969 Pa 306 (Mcl 24.235 & 24.245a),Signed by the Governor,12/13/2011,4/7/2011,John Pappageorge,"MI Leader Arlan Meekhof (R-MI30), Randy Richardville, MI Sen. Goeff Hansen (R-MI34), MI Sen. Jack Brandenburg (R-MI8), Mark Jansen, MI Sen. Dave Hildenbrand (R-MI29), MI Sen. Phil Pavlov (R-MI25), MI Sen. John Proos (R-MI21), MI Sen. Judy Emmons (R-MI33), MI Sen. Joe Hune (R-MI22), MI Sen. Rick Jones (R-MI24), MI Sen. Mike Nofs (R-MI19), Roger Kahn, MI Sen. Darwin Booher (R-MI35), MI Sen. Patrick Colbeck (R-MI7), Bruce Caswell, John Moolenaar, MI Sen. Jim Marleau (R-MI12), MI Sen. Tonya Schuitmaker (R-MI26)",Republican,https://www.quorum.us/bill/1634038/,http://www.legislature.mi.gov/documents/2011-2012/billengrossed/Senate/htm/2011-SEBS-0274.htm,1251,,,
Michigan,House,2011-2012 Regular Session,House Bill,5215,H.B. 5215 (2011-2012 Regular Session): Economic Development; Development Incentives; Neighborhood Improvement Districts; Establish. Creates New Act,Referred to Committee,12/13/2011,12/14/2011,MI Rep. Harvey Santana (D-MI9),,Democrat,https://www.quorum.us/bill/1633913/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/House/htm/2011-HIB-5215.htm,4124,,,
Michigan,Senate,2011-2012 Regular Session,Senate Simple Resolution,103,S.R. 103 (2011-2012 Regular Session): To Declare the City of Algonac the Water Speed Capital of the State of Michigan,Agreed To (Simple Resolution),12/13/2011,12/14/2011,MI Sen. Phil Pavlov (R-MI25),"John Pappageorge, MI Sen. Darwin Booher (R-MI35), MI Sen. John Proos (R-MI21), MI Sen. Jack Brandenburg (R-MI8)",Republican,https://www.quorum.us/bill/1634128/,http://www.legislature.mi.gov/documents/2011-2012/resolutionintroduced/Senate/htm/2011-SIR-0103.htm,403,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,879,S.B. 879 (2011-2012 Regular Session): Labor; Public Service Employment; Residency Requirement for Certain Public Employees; Authorize. Amends Sec. 2 of 1999 Pa 212 (Mcl 15.602),Referred to Committee,12/13/2011,12/14/2011,MI Sen. Coleman Young (D-MI1),,Democrat,https://www.quorum.us/bill/1634127/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/Senate/htm/2011-SIB-0879.htm,302,,,
Michigan,House,2011-2012 Regular Session,House Bill,5030,H.B. 5030 (2011-2012 Regular Session): Labor; Health and Safety; Limitation on Rules Miosha Can Promulgate; Establish. Amends 1974 Pa 154 (Mcl 408.1001 - 408.1094) by Adding Sec. 13a,Referred to Committee after Passing First Chamber,12/13/2011,9/29/2011,Joe Haveman,"Bob Genetski, MI Speaker Kevin Cotter (R-MI99), Judson Gilbert, Greg MacMaster, MI Rep. Bruce Rendon (R-MI103), Tom McMillin, MI Rep. Amanda Price (R-MI89), Matt Huuki, MI Rep. Jeremy Moss (D-MI35), MI Sen. Peter MacGregor (R-MI28), MI Sen. Wayne Schmidt (R-MI37), Matt Lori, Frank Foster, MI Rep. Nancy Jenkins (R-MI57), MI Rep. Tom Hooker (R-MI77), David Agema, MI Sen. Margaret O'Brien (R-MI20), MI Rep. Earl Poleski (R-MI64), MI Rep. Jon Bumstead (R-MI100), MI Rep. Ben Glardon (R-MI85), MI Sen. Mike Shirkey (R-MI16), MI Rep. Ken Yonker (R-MI72), John Walsh, MI Rep. Pat Somerville (R-MI23), MI Rep. Holly Hughes (R-MI91), Cindy Denby, Pete Lund, Sharon Tyler",Republican,https://www.quorum.us/bill/1634124/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/House/htm/2011-HIB-5030.htm,78,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,502,S.B. 502 (2011-2012 Regular Session): Liquor; Licenses; License to Serve Alcohol at Certain Community Colleges and Universities; Allow. Amends 1998 Pa 58 (Mcl 436.1101 - 436.2303) by Adding Sec. 513a,Signed by the Governor,12/13/2011,6/22/2011,MI Sen. Mike Nofs (R-MI19),"Randy Richardville, MI Sen. John Proos (R-MI21), MI Sen. Judy Emmons (R-MI33), Howard Walker, MI Sen. Morris Hood (D-MI3), MI Sen. Patrick Colbeck (R-MI7)",Republican,https://www.quorum.us/bill/1634120/,http://www.legislature.mi.gov/documents/2011-2012/billconcurred/Senate/htm/2011-SCB-0502.htm,332,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,277,"S.B. 277 (2011-2012 Regular Session): Environmental Protection; Other; Nrepa Programs; Require Service Surveys, Process Review, and Metrics. Amends 1994 Pa 451 (Mcl 324.101 - 324.90106) by Adding Pt. 27",Signed by the Governor,12/13/2011,4/7/2011,MI Sen. Dave Hildenbrand (R-MI29),"Randy Richardville, MI Sen. Tory Rocca (R-MI10), MI Sen. Goeff Hansen (R-MI34), Mark Jansen, MI Sen. Jack Brandenburg (R-MI8), MI Sen. John Proos (R-MI21), MI Sen. Phil Pavlov (R-MI25), MI Sen. Joe Hune (R-MI22), MI Sen. Judy Emmons (R-MI33), MI Sen. Rick Jones (R-MI24), MI Sen. Mike Green (R-MI31), Roger Kahn, MI Sen. Mike Nofs (R-MI19), MI Sen. Darwin Booher (R-MI35), John Pappageorge, MI Sen. Tom Casperson (R-MI38), MI Sen. Patrick Colbeck (R-MI7), Bruce Caswell, John Moolenaar, MI Sen. Tonya Schuitmaker (R-MI26), MI Sen. Jim Marleau (R-MI12)",Republican,https://www.quorum.us/bill/1634116/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/Senate/htm/2011-SIB-0277.htm,252,,,
Michigan,House,2011-2012 Regular Session,House Bill,5205,"H.B. 5205 (2011-2012 Regular Session): Crimes; Other; State Law Prohibiting Panhandlers; Eliminate. Amends Sec. 167 of 1931 Pa 328 (Mcl 750.167). 
",Referred to Committee,12/8/2011,12/9/2011,Shanelle Jackson,"Former MI Rep. Brandon Dillon (D-MI75), Jon Switalski, MI Rep. Harvey Santana (D-MI9), James Womack",Democrat,https://www.quorum.us/bill/1634126/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/House/htm/2011-HIB-5205.htm,307,,,
Michigan,Senate,2011-2012 Regular Session,Senate Bill,875,S.B. 875 (2011-2012 Regular Session): Economic Development; Development Incentives; Neighborhood Improvement Districts; Establish. Creates New Act,Referred to Committee,12/8/2011,12/9/2011,Tupac Hunter,,Democrat,https://www.quorum.us/bill/1634131/,http://www.legislature.mi.gov/documents/2011-2012/billintroduced/Senate/htm/2011-SIB-0875.htm,4124,,,
